,JID#,SERIES,SHOT,SHOT_CODE,YEAR,MON,DAY,TIME,SITE,LAT,LON,HOLE,HOB,GZALT,TYPE,PUR,YD-MN,YD-MX,YIELD,MAG,DEVICE,WARHEAD,SPONSOR,NATION,UNIX_TIME,GTUNE_ID
0,US1,Trinity,Trinity,,1945,JUL,16,11:29:21.0,NM,33.6753,-106.4747,,30,,AS-T,WR,21,,21,,, Fat Man,LANL,US,-771942639.0,194507161129
1,US2,Alberta,Little Boy,,1945,AUG,5,23:16:02.0,-JP,34.3914,132.4581,,580,,A-AD,C,15,,15,,, Little Boy,DOD,US,-770172238.0,194508052316
2,US3,Alberta,Fat Man,,1945,AUG,9,01:58:00.0,-JP,32.7702,129.8657,,503,,A-AD,C,21,,21,,, Mk-3,DOD,US,-769903320.0,194508090158
3,US4,Crossroads,Able,,1946,JUN,30,21:01:00.0,BK,11.58,165.5,,158,,A-AD,WE,21,,21,,, Mk-3A,LANL,US,-741754740.0,194606302101
4,US5,Crossroads,Baker,,1946,JUL,24,21:34:59.8,BK,11.5833,165.5,,-27,,UW,WE,21,,21,,, Mk-3A,LANL,US,-739679100.2,194607242134
5,US6,Sandstone,X-ray,,1948,APR,14,18:16:59.0,EN,11.67,162.24,,60,,AS-T,WR,37,,37,,, Mk-3,LANL,US,-685258981.0,194804141816
6,US7,Sandstone,Yoke,,1948,APR,30,18:08:59.0,EN,11.62,162.33,,60,,AS-T,WR,49,,49,,, Mk-3,LANL,US,-683877061.0,194804301808
7,US8,Sandstone,Zebra,,1948,MAY,14,18:04:00.0,EN,11.56,162.35,,60,,AS-T,WR,18,,18,,, Mk-3,LANL,US,-682667760.0,194805141804
8,USSR1,1949,1 Pervaya Molniya (Joe I),,1949,AUG,29,00:00:00,STS-GZ,50.44,77.82,,30,,AS-T,WR,22,,22,,,,KB-11,USSR,-641952000.0,194908290000
9,USSR2,1950,,X,1950,JAN,1,00:00:00,STS,50,78.0,,,,AS-T,,,,0,,,,KB-11,USSR,-631152000.0,195001010000
